year,month,MKT,REG,PEAD,HMLM,STR,ILR,SMB,EPRD
1978,5,0.0176,0.005451,0.0081,-0.015092143,8.00E-04,-0.007201,0.0458,0.039571
1978,6,-0.0169,0.012015,0.0149,-0.005123515,0.0135,0.023197,0.0156,0.034565
1978,7,0.0511,0.026592,0.0327,-0.030016966,0.009,0.031556,0.0013,-0.003756
1978,8,0.0375,0.006506,0.0055,-0.004333615,0.0087,0.018277,0.0495,-0.010079
1978,9,-0.0143,-0.00844,-0.021,0.040332289,0.0365,-0.048455,-0.0031,-0.026266
1978,10,-0.1191,0.009919,-0.0072,0.043630756,-0.0184,0.08352,-0.1007,0.025261
1978,11,0.0271,0.015463,-0.0196,-0.01800487,0.0915,-0.071338,0.0285,0.016148
1978,12,0.0088,0.024851,0.0085,-0.030067764,-0.0039,0.040129,0.0112,0.052433
1979,1,0.0423,-0.013198,-0.0171,0.041896355,0.0562,-0.048163,0.0379,-0.059854
1979,2,-0.0356,0.00471,0.0117,0.021110795,0.0131,0.025733,0.0054,-0.02065
1979,3,0.0568,0.005342,0.0109,-0.015798402,0.0147,-0.01357,0.032,-0.04781
1979,4,-6.00E-04,-0.002849,-0.0013,-0.002369235,-0.004,0.014474,0.024,0.00051
1979,5,-0.0221,0.004436,-0.008,0.015428298,0.0117,-0.014498,0.0017,-0.030983
1979,6,0.0385,-0.017343,0.0183,0.004813957,0.0119,0.005436,0.0099,0.008062
1979,7,0.0082,-0.006536,-1.00E-04,0.013892425,0.0062,0.025212,0.0127,-0.006077
1979,8,0.0553,-0.000151,0.0044,-0.019746491,0.0079,-0.004515,0.0192,0.025835
1979,9,-0.0082,0.028441,0.0054,-0.011487231,-0.0163,0.04216,-0.0033,-0.033499
1979,10,-0.081,0.016684,-0.0037,-0.01062367,-0.0194,-0.007326,-0.0351,0.046812
1979,11,0.0521,-0.003745,0.0146,-0.037160412,0.0131,0.054497,0.0253,0.042433
1979,12,0.0179,-0.001797,0.0092,-0.037477563,-0.0189,0.036302,0.0432,-0.005469
1980,1,0.0551,0.003912,0.0131,-0.027070979,-0.0341,0.060676,0.0182,-0.07701
1980,2,-0.0122,0.035816,0.0535,-0.031409107,-0.0491,0.010139,-0.0158,-0.017197
1980,3,-0.129,-0.010137,-0.0287,0.069970421,0.0846,-0.098952,-0.0692,0.101332
1980,4,0.0397,0.014404,0.0089,0.01861993,0.014,0.02235,0.0105,0.035804
