"","year","month","return"
"2026",1985,10,0.071666
"2035",1985,11,-0.02229
"2044",1985,12,0.018122
"2053",1986,1,0.012308
"2062",1986,2,0.057704
"2071",1986,3,0.021345
"2080",1986,4,-0.012574
"2089",1986,5,-0.003101
"2098",1986,6,0.026072
"2107",1986,7,-0.00609799999999999
"2116",1986,8,0.036651
"2125",1986,9,0.063203
"2134",1986,10,-0.092079
"2143",1986,11,0.002599
"2152",1986,12,0.007024
"2161",1987,1,0.021303
"2170",1987,2,-0.010224
"2179",1987,3,0.051829
"2188",1987,4,0.053883
"2197",1987,5,-0.014981
"2206",1987,6,-0.033088
"2215",1987,7,-0.00991300000000001
"2224",1987,8,-0.070802
"2233",1987,9,-0.016349
"2242",1987,10,-0.024361
"2251",1987,11,-0.007234
"2260",1987,12,-0.079537
"2269",1988,1,-0.052687
"2278",1988,2,-0.061773
"2287",1988,3,0.019977
"2296",1988,4,0.010989
"2305",1988,5,0.01441
"2314",1988,6,-0.021529
"2323",1988,7,-0.027467
"2332",1988,8,0.052589
"2341",1988,9,0.029707
"2350",1988,10,0.001037
"2359",1988,11,0.015935
"2368",1988,12,-0.001139
"2377",1989,1,0.00436400000000001
"2386",1989,2,-0.00576
"2395",1989,3,0.029473
"2404",1989,4,0.032885
"2413",1989,5,0.03327
"2422",1989,6,-0.002287
"2431",1989,7,0.016847
"2440",1989,8,-0.065487
"2449",1989,9,-0.031466
"2458",1989,10,0.0393
"2467",1989,11,0.051944
"2476",1989,12,-0.004765
"2485",1990,1,-0.000670000000000004
"2494",1990,2,0.038835
"2503",1990,3,0.005157
"2512",1990,4,0.043396
"2521",1990,5,-0.013869
"2530",1990,6,0.025403
"2539",1990,7,-0.030263
"2548",1990,8,0.066088
"2557",1990,9,0.082697
"2566",1990,10,0.008852
"2575",1990,11,0.011547
"2584",1990,12,-0.015653
"2593",1991,1,0.00544699999999999
"2602",1991,2,0.014931
"2611",1991,3,-0.00579
"2620",1991,4,-0.018093
"2629",1991,5,-0.038621
"2638",1991,6,-0.029757
"2647",1991,7,-0.011978
"2656",1991,8,0.049772
"2665",1991,9,0.027544
"2674",1991,10,0.012914
"2683",1991,11,-0.003126
"2692",1991,12,0.000450000000000006
"2701",1992,1,-0.001151
"2710",1992,2,0.047439
"2719",1992,3,0.040762
"2728",1992,4,0.097397
"2737",1992,5,0.004472
"2746",1992,6,0.057545
"2755",1992,7,-0.031729
"2764",1992,8,0.023991
"2773",1992,9,0.000271
"2782",1992,10,-0.027844
"2791",1992,11,0.060788
"2800",1992,12,0.002487
"2809",1993,1,0.000375
"2818",1993,2,0.017671
"2827",1993,3,0.040322
"2836",1993,4,0.08013
"2845",1993,5,-0.003803
"2854",1993,6,0.003834
"2863",1993,7,0.044975
"2872",1993,8,-0.017338
"2881",1993,9,-0.0097
"2890",1993,10,-0.00207
"2899",1993,11,-0.007759
"2908",1993,12,0.028231
"2917",1994,1,0.026015
"2926",1994,2,-0.011324
"2935",1994,3,0.028264
"2944",1994,4,-0.035113
"2953",1994,5,-0.013521
"2962",1994,6,-0.026226
"2971",1994,7,-0.003046
"2980",1994,8,-0.022157
"2989",1994,9,0.032313
"2998",1994,10,-0.030338
"3007",1994,11,0.035889
"3016",1994,12,-0.000904000000000002
"3025",1995,1,0.013243
"3034",1995,2,-0.032624
"3043",1995,3,-0.00336699999999999
"3052",1995,4,0.000650000000000001
"3061",1995,5,-0.001048
"3070",1995,6,-0.023165
"3079",1995,7,0.052932
"3088",1995,8,-0.013473
"3097",1995,9,0.030129
"3106",1995,10,0.079416
"3115",1995,11,-0.043565
"3124",1995,12,0.022903
"3133",1996,1,0.017882
"3142",1996,2,-0.030558
"3151",1996,3,-0.023759
"3160",1996,4,-0.028351
"3169",1996,5,0.003269
"3178",1996,6,0.051296
"3187",1996,7,0.014771
"3196",1996,8,-0.040067
"3205",1996,9,-0.002443
"3214",1996,10,-0.006206
"3223",1996,11,-0.007082
"3232",1996,12,-0.018348
"3241",1997,1,-0.019063
"3250",1997,2,-0.094274
"3259",1997,3,-0.026066
"3268",1997,4,0.022662
"3277",1997,5,0.016787
"3286",1997,6,0.014078
"3295",1997,7,-0.044198
"3304",1997,8,-0.042517
"3313",1997,9,-0.002611
"3322",1997,10,0.046727
"3331",1997,11,0.082191
"3340",1997,12,0.057363
"3349",1998,1,-0.075614
"3358",1998,2,0.00927699999999999
"3367",1998,3,-0.064576
"3376",1998,4,0.009114
"3385",1998,5,-0.075968
"3394",1998,6,0.04933
"3403",1998,7,0.012321
"3412",1998,8,0.014052
"3421",1998,9,-0.134695
"3430",1998,10,-0.073928
"3439",1998,11,-0.005138
"3448",1998,12,0.132263
"3457",1999,1,0.156683
"3466",1999,2,-0.00375399999999999
"3475",1999,3,-0.036977
"3484",1999,4,-0.022641
"3493",1999,5,-0.0359
"3502",1999,6,-0.057131
"3511",1999,7,0.002084
"3520",1999,8,0.056164
"3529",1999,9,0.01288
"3538",1999,10,-0.08571
"3547",1999,11,0.000699
"3556",1999,12,0.176347
"3565",2000,1,0.108842
"3574",2000,2,0.031601
"3583",2000,3,-0.06299
"3592",2000,4,0.131968
"3601",2000,5,0.06948
"3610",2000,6,-0.051669
"3619",2000,7,-0.079947
"3628",2000,8,-0.068216
"3637",2000,9,-0.085446
"3646",2000,10,0.115745
"3655",2000,11,0.097144
"3664",2000,12,0.100328
"3673",2001,1,-0.077383
"3682",2001,2,-0.164603
"3691",2001,3,0.099628
