year,month,MKT,SMB,HML,RMW,CMA,UMD,HMLM,QMJ,BAB,LIQ,STR,LTR,REG,VOL,SUE,IA,ROE,IMD,NI,BETA,PEAD,FIN,PLS,ABR,ACI,ATO,CEI,CIM,CLA,COP,CP,CTO,DAC,dBE,dCOA,dFIN,dFNL,dII,dLNO,dNCA,dNCO,dNOA,DP,dPIA,dROA,dROE,DUR,dWC,EBP,EM,EP,EPRD,ETL,ETR,GPA,HS,IG,ILE,ILR,IM,IOCA,IR,ISFF,ISQ,IVC,IVFF,IVG,IVQ,NDF,NEI,NOA,NOP,OA,OCA,OCP,OL,OLE,OP,OPA,OPE,52W,PDA,POA,PTA,R1A,R5A,RER,Resid,ROA,RS,SG,SIM,SP,TA,TBI,TV,VHP
1973,11,-0.1275,-0.0727,0.0399,-0.0258,0.0169,0.0866,0.016850852,0.020256688,-0.041218374,-0.02655529,-0.0467,-0.0237,0.02074,0.1274,0.026987,0.019573,-0.011296,-0.082,0.0658,-0.1657,0.045,0.0884,0.092487359,-0.000557,-0.054767,-0.080545,0.070558,0.065877,0.104501,0.114754,-0.038688,-0.055918,0.056122,-0.007066,0.054542,0.046661,-0.006713,0.009519,0.006117,0.008801,0.004015,0.022299,0.028603,0.061152,-0.122876,0.070213,-0.020089,0.076607,-0.00189,0.005156,-0.051629,0.094766,-0.047789,0.024895,0.008474,0.000462,-0.017558,0.053789,0.098096,0.112153,-0.012287,-0.067924,0.016355,0.010342,0.043447,0.10212,0.062941,0.100894,-0.061191,0.000904,-0.038949,0.024776,0.105851,-0.033355,-0.019934,-0.095709,-0.037528,0.009133,0.022645,0.012485,0.164038,0.016487,0.081982,0.027797,-0.039562,0.01068,-0.067728,-0.022415,0.078103,0.033064,-0.048691,0.069736,-0.037358,0.04972,0.032538,0.110335,-0.071183
1973,12,0.0061,-0.0466,0.0394,-0.0269,0.0241,0.1038,0.008563653,-0.021607976,0.015966076,-0.01675243,0.0039,0.0252,0.046139,0.0255,0.047568,0.025183,0.036506,0.028,0.0353,-0.0484,0.0488,0.0669,0.065603865,0.122517,-0.018876,-0.080063,0.055124,0.022869,-0.043322,-0.04945,0.056649,-0.015907,-0.075353,0.054796,0.03361,-0.075912,-0.055012,-0.00727,0.002337,0.025144,0.017376,0.040837,0.03371,-0.035219,0.094276,0.164662,0.107387,0.068155,0.115805,0.045221,0.016987,-0.037244,-0.025574,0.013659,-0.07744,-0.060553,-0.026432,0.024198,0.130402,0.170786,-0.023402,0.057878,0.026407,-0.020516,-0.007459,0.023473,0.018068,0.034678,-0.031931,0.0418,-0.092979,-0.023824,0.008999,-0.128324,0.078041,-0.036645,0.045687,0.027827,-0.072479,-0.080981,0.09962,-0.102929,-0.022138,0.054655,0.019163,-0.007982,0.04785,0.108536,0.058804,0.00873,0.045381,0.11264,0.009317,0.05305,0.004024,0.020531,0.0085
1974,1,-0.0017,0.1039,0.06,-0.0318,0.0448,-0.0885,0.122377022,-0.033187704,-0.020478442,0.10250596,0.0923,0.0766,-0.005604,-0.1074,-0.07308,0.021051,-0.048138,0.0037,-0.0688,0.1539,-0.0065,-0.0256,-0.087140946,-0.043123,0.046655,0.041724,0.025304,-0.123194,-0.10117,-0.095838,0.108492,0.028553,-0.00617,0.091462,-0.029055,-0.02366,-0.014452,-0.00118,0.043209,0.061608,0.056894,0.015768,0.086458,-0.028763,-0.015804,-0.089174,0.100774,-0.075743,0.092897,0.031083,0.13809,-0.125222,0.009713,0.032074,-0.042677,0.012043,0.057137,-0.026447,-0.086926,-0.113542,-0.022552,0.12586,0.012059,0.015871,-0.001522,-0.104352,-0.028126,-0.107614,0.040837,-0.059642,0.032752,0.067891,-0.070239,0.025268,0.103273,0.076636,0.060681,0.099366,-0.062295,-0.052507,-0.219309,-0.017897,-0.013917,-0.003591,-0.107502,0.129969,0.069121,-0.041256,-0.240364,-0.060245,-0.030082,0.015798,0.200977,0.020789,-0.038427,-0.082965,0.152395
1974,2,-0.0047,0.0012,0.025,-0.0187,0.0262,0.0032,0.028743989,-0.02084999,0.023720277,0.03769419,0.0073,0.045,0.014503,0.0232,-0.039525,0.021209,-0.010446,0.0059,-0.0158,0.0142,-0.0016,0.0178,-0.00107829,-0.024849,0.01982,-0.033707,0.002805,0.039806,-0.02711,-0.033116,0.055302,0.005417,-0.02449,0.026574,-0.015617,-0.022419,0.026055,0.057963,0.0458,0.007398,0.011128,0.032725,0.051467,0.047842,0.035376,0.009049,0.064969,-0.016286,0.056679,0.009814,0.047534,-0.03054,0.005318,-0.004437,-0.025023,0.007177,0.018183,0.001282,0.046413,0.013269,-0.019531,0.063988,-0.003563,-0.010991,0.010596,-0.004917,0.029732,-0.001289,0.018218,-0.021291,-0.037436,0.008446,-0.020887,-0.028461,0.070391,0.000474,0.03883,0.049737,-0.023303,-0.032759,0.031658,-0.027523,0.002636,0.022087,0.009156,0.020627,0.028165,0.036063,-0.00211,-0.005587,-0.004494,0.027692,0.049324,0.026484,-0.029634,0.027583,0.05089
1974,3,-0.0281,0.0261,-0.0012,0.0279,0.0045,-0.0105,0.011999023,0.031433657,0.006302533,0.04482981,0.0412,-0.0026,0.011626,-0.0085,0.020286,-0.000555,0.018113,-0.0297,0.0272,-0.0156,0.0078,0.0132,-0.021428478,-0.003116,0.003929,0.016203,-0.004648,-0.05413,0.035922,0.032414,-0.002949,0.003333,0.03216,0.002316,0.026001,0.040564,0.04946,-0.033261,-0.003033,0.041368,0.041061,0.024925,-0.030361,0.025466,-0.067564,-0.019458,-0.011967,0.008721,-0.011529,0.004163,0.015583,0.016436,-0.034259,-0.010111,0.034985,0.024367,0.008205,-0.015392,-0.07561,-0.050159,0.020654,-0.031952,-0.016491,0.010772,0.053223,0.010348,0.018327,0.009037,0.010966,0.015868,0.01761,0.020765,0.025711,0.025936,-0.035917,-0.0054,-0.045811,-0.003426,0.027137,0.042597,-0.032506,0.022429,0.004543,0.023605,0.021799,-0.001792,-0.008217,-0.033567,0.013457,-0.001517,-0.01181,0.005009,-0.004751,-0.00117,0.030804,0.016343,0.009024
1974,4,-0.0529,-0.0069,0.0087,0.0288,0.0208,0.0211,-0.00692155,0.032549944,-0.034767402,0.02300093,-0.0139,0.0127,0.025414,0.0178,0.015662,0.023752,0.022129,-0.04,0.0231,-0.0119,0.0202,0.0281,-0.033321408,-0.009849,-0.010626,0.019744,0.002001,0.027493,0.029608,0.032692,0.014329,0.109388,0.00415,-0.015613,-0.028181,0.032292,0.032568,-0.012591,0.01117,0.032738,0.0323,0.000531,-0.07218,-0.000352,-0.063675,0.001096,0.025918,-0.00991,0.01032,-0.002135,-0.005088,0.025283,-0.017834,-0.027015,0.07443,0.027099,-0.008097,0.016101,-0.00417,0.022633,-0.002757,0.004809,0.012617,0.018817,-0.003502,0.039188,0.008881,0.03698,-0.008403,0.030132,0.015959,0.037645,-0.018956,0.026328,0.012662,0.043037,0.035902,0.018841,0.03352,0.015218,0.049141,-0.018702,0.009872,0.005238,0.010482,0.070187,0.01802,0.001315,0.050347,0.038225,0.009361,0.009566,0.01178,-0.022525,0.005087,0.021287,0.019944
1974,5,-0.0468,-0.0308,-0.0207,0.0493,-0.004,-0.0039,-0.01736443,0.044734727,-0.01596129,0.0588293,-0.0272,-0.0302,0.002895,0.0681,-0.016674,-0.003302,0.022782,-0.1063,0.0368,-0.0307,-0.0061,0.0226,-0.079034044,-0.003522,-0.008202,0.060603,0.041537,0.07526,0.096249,0.089218,-0.05008,0.05232,0.041454,-0.048644,-0.031473,0.02639,0.062269,0.051579,-0.017526,0.0045,0.013551,0.014752,-0.081586,0.00263,-0.094426,-0.067414,-0.078284,0.011677,-0.076292,-0.02682,-0.033786,0.078416,-0.075684,-0.015342,0.068587,-0.003225,0.032501,-0.00594,0.006504,-0.026301,-0.020407,-0.0998,0.012695,-0.029821,-0.048791,0.10518,-0.001681,0.101744,0.052676,0.003953,0.039723,0.065733,-0.023722,0.067374,-0.082435,0.043672,0.067518,-0.040576,0.105182,0.080262,0.025168,0.065822,-0.012098,-0.003229,0.060589,0.084785,0.014441,-0.056688,0.060913,-0.012297,-0.050333,0.03844,-0.054711,-0.032661,0.054414,0.095491,-0.035635
1974,6,-0.0283,2.00E-04,0.0079,0.0062,0.029,0.0231,-0.006402095,0.01700974,-0.003709363,-0.00960425,-0.0095,-0.0188,0.021438,0.0712,0.033949,0.015998,0.015496,-0.1369,0.0168,-0.0284,0.0076,0.0315,0.007695297,-0.004655,0.016703,-0.025598,0.030637,-0.04019,0.012583,0.023006,0.011443,0.039647,-0.014253,-0.001816,0.028898,0.025541,0.018749,0.008517,0.017672,0.022195,0.017539,0.000894,-0.023343,0.017526,0.039262,0.040216,0.028528,0.024961,0.03846,-0.004151,-0.019356,0.030971,-0.000319,0.004578,0.057536,-0.019195,0.039358,0.054088,0.001915,0.038771,0.009855,-0.013363,0.005812,0.001332,0.030056,0.054609,0.023474,0.045051,-0.0121,0.023788,-0.020187,0.015267,0.032261,-0.011543,0.021751,-0.019718,0.006986,0.0031,0.042391,-0.008275,0.041125,-0.017334,0.024568,-0.012119,0.033699,0.020329,-0.002089,0.026933,0.088653,0.023616,0.015335,-0.027395,-0.001442,0.001177,0.011841,0.048992,-0.028752
1974,7,-0.0805,0.0192,0.0517,-0.0326,0.046,0.0309,0.05776017,-0.015007703,-0.002797987,-0.00559386,0.0086,0.0332,0.056777,-0.0106,0.048088,0.044292,0.025567,-0.064,-0.0515,-0.031,0.0144,0.0724,-0.08353951,-0.034292,0.02958,-0.063263,0.011572,0.105246,-0.036959,-0.034924,0.08721,-0.057103,-0.0119,0.021506,0.067961,0.03732,0.046249,0.018555,0.052967,0.056749,0.064748,0.069348,0.053612,0.069064,0.117588,0.08008,0.110821,0.082797,0.074919,0.059776,0.07626,-0.036323,-0.031356,0.05534,-0.10255,-0.01978,0.030308,0.088,0.083785,-0.027265,0.015889,0.062984,0.015983,-0.033217,0.068318,-0.020023,0.034784,-0.033753,0.015107,0.010934,-0.074866,-0.027097,0.006028,-0.076801,0.104718,-0.044488,0.006175,0.033136,-0.04502,-0.050731,0.073284,0.022564,0.041504,0.048742,-0.064853,0.025566,-0.009743,0.051338,-0.009801,0.030219,0.102771,0.099894,0.067422,0.059633,0.014862,-0.04709,0.069037
1974,8,-0.0935,0.0026,0.0264,-0.0028,0.026,0.03,0.018857372,0.001541592,-0.04774567,-0.03185659,0.0204,0.0202,0.048505,0.0453,-0.003113,0.031493,0.029559,-0.1031,0.0134,0.0096,0.0283,0.0235,0.002330468,0.042558,-0.003647,-0.063967,0.068138,0.003979,-0.003429,-0.004025,0.024834,-0.073143,0.049273,0.010499,0.010618,0.027344,0.021232,-0.003838,-0.038292,0.024104,0.02184,0.022654,0.039843,0.022639,-0.002757,0.001842,0.029379,0.010879,0.032907,0.041735,0.012137,-0.052388,0.013752,0.001235,0.008376,-0.006288,-0.003795,0.019975,0.010085,0.019088,-0.06273,0.012501,-0.005707,0.008446,0.051268,0.000889,0.034368,0.006418,0.024449,0.027063,0.032957,0.046168,0.019414,-0.061145,0.021831,-0.063395,0.061857,0.04772,0.003498,-0.005129,0.037754,0.054979,0.037933,0.011357,-0.00689,0.021054,-0.044223,-0.021443,0.021113,-0.019535,-0.020195,-0.012791,0.007007,0.044547,0.003165,-0.043661,0.00017
