year,month,rank_EPRD,nstocks,ret_vw
1968,8,3,38,2.0824
1968,8,4,38,1.3627
1968,8,5,38,3.3804
1968,8,6,37,2.5639
1968,8,7,38,1.9424
1968,8,8,37,2.2707
1968,8,9,38,1.3623
1968,8,10,37,-0.0037
1968,9,1,38,0.5487
1968,9,2,37,1.8224
1968,9,3,38,5.7669
1968,9,4,38,5.6519
1968,9,5,38,2.5490
1968,9,6,37,6.6548
1968,9,7,38,4.3569
1968,9,8,37,8.1621
1968,9,9,38,6.8958
1968,9,10,37,8.3999
1968,10,1,38,0.5237
1968,10,2,37,-1.7031
1968,10,3,38,0.9616
1968,10,4,38,1.3913
1968,10,5,38,0.9713
1968,10,6,37,2.0107
1968,10,7,37,2.5114
1968,10,8,37,-1.5298
1968,10,9,38,3.8701
1968,10,10,37,1.8620
1968,11,1,38,5.7895
1968,11,2,37,7.1279
1968,11,3,38,4.1973
1968,11,4,38,3.0434
1968,11,5,38,4.5990
1968,11,6,37,6.4947
1968,11,7,37,6.0009
1968,11,8,37,7.5411
1968,11,9,38,-0.5977
1968,11,10,36,6.2785
1968,12,1,38,-2.4354
1968,12,2,37,-5.3163
1968,12,3,38,-5.9986
1968,12,4,38,-3.2330
1968,12,5,38,-0.1258
1968,12,6,37,-0.9203
1968,12,7,38,-5.8428
1968,12,8,37,-4.5121
1968,12,9,38,-3.0772
1968,12,10,36,-1.2536
1969,1,1,38,-1.2948
1969,1,2,37,-3.1380
1969,1,3,38,-0.6686
1969,1,4,38,-2.9142
1969,1,5,38,-0.3455
1969,1,6,37,-2.5923
1969,1,7,38,2.0237
1969,1,8,37,-0.8993
1969,1,9,38,0.5867
1969,1,10,36,-1.0383
1969,2,1,38,-4.1849
1969,2,2,37,-2.4335
1969,2,3,38,-3.5896
1969,2,4,38,-4.4294
1969,2,5,38,-5.4490
1969,2,6,37,-4.8794
1969,2,7,38,-4.5421
1969,2,8,37,-8.1608
1969,2,9,38,-3.2917
1969,2,10,36,-7.0616
1969,3,1,38,5.0702
1969,3,2,37,5.4364
1969,3,3,38,5.6668
1969,3,4,38,2.7954
1969,3,5,38,3.0553
1969,3,6,37,0.0494
1969,3,7,38,0.5763
1969,3,8,37,3.0825
1969,3,9,38,4.1292
1969,3,10,36,1.3371
1969,4,1,38,1.8353
1969,4,2,37,3.0787
1969,4,3,38,2.6379
1969,4,4,38,-0.7705
1969,4,5,38,2.2484
1969,4,6,36,2.9271
1969,4,7,38,6.7623
1969,4,8,37,0.7433
1969,4,9,38,0.1950
1969,4,10,35,0.4240
1969,5,1,38,2.9760
1969,5,2,37,0.6418
1969,5,3,38,0.6159
1969,5,4,38,0.7881
1969,5,5,38,-1.6918
1969,5,6,36,-1.7227
1969,5,7,38,0.8768
1969,5,8,37,-1.6585
1969,5,9,38,1.1632
1969,5,10,35,-1.8332
1969,6,1,38,-5.7248
1969,6,2,37,-1.8141
1969,6,3,38,-5.7951
1969,6,4,38,-7.1219
1969,6,5,38,-9.3434
1969,6,6,37,-7.9098
1969,6,7,38,-5.4930
1969,6,8,37,-7.6907
1969,6,9,38,-5.4893
1969,6,10,35,-11.7674
1969,7,1,38,-4.6428
1969,7,2,37,-6.3876
1969,7,3,38,-5.9577
1969,7,4,38,-6.2274
1969,7,5,37,-7.1069
1969,7,6,38,-6.3297
1969,7,7,37,-10.3607
1969,7,8,38,-6.0568
1969,7,9,37,-5.5534
1969,7,10,37,-9.9160
1969,8,1,38,6.2332
1969,8,2,37,6.8817
1969,8,3,38,3.4720
1969,8,4,38,5.7882
1969,8,5,37,5.1877
1969,8,6,38,1.6070
1969,8,7,37,3.9749
1969,8,8,38,2.2266
1969,8,9,37,3.0608
1969,8,10,37,3.7034
1969,9,1,38,-1.2494
1969,9,2,37,-3.4970
1969,9,3,38,-3.0411
1969,9,4,38,-4.4257
1969,9,5,37,-2.7530
1969,9,6,38,1.4576
1969,9,7,36,-0.8056
1969,9,8,38,-2.1504
1969,9,9,36,-0.8629
1969,9,10,37,-2.4087
1969,10,1,38,5.2137
1969,10,2,37,4.4553
1969,10,3,38,4.3177
1969,10,4,38,3.9787
1969,10,5,37,3.2213
1969,10,6,38,2.2597
1969,10,7,36,8.1122
1969,10,8,38,3.2386
1969,10,9,36,5.1492
1969,10,10,37,5.0284
1969,11,1,38,-2.0546
1969,11,2,37,-2.3197
1969,11,3,38,-4.0821
1969,11,4,38,-4.1827
1969,11,5,37,-4.3896
1969,11,6,38,-4.7347
1969,11,7,37,-5.7327
1969,11,8,38,-1.0139
1969,11,9,37,-3.8030
1969,11,10,37,-5.1930
1969,12,1,38,2.3422
1969,12,2,37,-0.0013
1969,12,3,38,-2.3448
1969,12,4,38,0.3270
1969,12,5,37,-0.4576
1969,12,6,38,-5.7525
1969,12,7,37,-3.7616
1969,12,8,38,-5.2024
1969,12,9,37,-2.8501
1969,12,10,37,-7.1173
1970,1,1,38,-7.4354
1970,1,2,37,-9.1219
1970,1,3,38,-8.9412
1970,1,4,38,-8.5981
1970,1,5,37,-10.0424
1970,1,6,38,-7.0740
1970,1,7,37,-9.8655
1970,1,8,38,-4.6731
1970,1,9,37,-6.0699
1970,1,10,37,-6.6092
1970,2,1,38,3.6350
1970,2,2,37,4.9516
1970,2,3,38,5.3740
1970,2,4,38,5.8919
1970,2,5,37,5.1618
1970,2,6,37,5.7296
1970,2,7,37,7.7364
1970,2,8,38,8.9665
1970,2,9,37,7.1142
1970,2,10,37,7.7236
1970,3,1,38,-1.8734
1970,3,2,37,-1.0560
1970,3,3,38,0.5942
1970,3,4,38,0.5536
1970,3,5,37,-0.0042
1970,3,6,37,0.9556
1970,3,7,37,-1.3987
1970,3,8,38,3.8248
1970,3,9,37,1.6868
1970,3,10,37,1.4249
1970,4,1,38,-8.2681
1970,4,2,37,-9.2695
1970,4,3,38,-8.2887
1970,4,4,38,-7.9627
1970,4,5,37,-8.1610
1970,4,6,37,-11.4932
1970,4,7,37,-12.9682
1970,4,8,38,-8.5937
1970,4,9,37,-8.2201
1970,4,10,37,-11.9666
1970,5,1,38,-3.1375
1970,5,2,37,-4.2273
1970,5,3,38,-5.8900
1970,5,4,38,-8.3676
1970,5,5,37,-3.4958
1970,5,6,37,-6.2768
1970,5,7,37,-7.6650
1970,5,8,38,-4.6914
1970,5,9,37,-7.7925
1970,5,10,37,-8.6049
1970,6,1,38,-1.5538
1970,6,2,37,-5.7917
1970,6,3,38,-3.7200
1970,6,4,38,-1.0246
1970,6,5,37,-1.3810
1970,6,6,37,-4.9747
1970,6,7,37,-8.3752
1970,6,8,37,-7.3658
1970,6,9,37,-7.9798
1970,6,10,37,-9.3294
1970,7,1,38,6.7197
1970,7,2,38,4.3155
1970,7,3,37,10.2037
1970,7,4,38,7.7862
1970,7,5,38,9.3834
1970,7,6,38,7.7967
1970,7,7,38,9.4778
1970,7,8,37,10.1388
1970,7,9,38,6.0770
1970,7,10,37,4.9126
1970,8,1,38,3.3795
1970,8,2,38,5.8467
1970,8,3,37,4.8153
1970,8,4,38,4.1877
1970,8,5,38,4.9010
1970,8,6,38,3.9013
1970,8,7,38,6.5742
1970,8,8,37,5.7583
1970,8,9,38,4.4176
1970,8,10,37,1.5609
1970,9,1,38,3.9718
1970,9,2,38,6.5255
1970,9,3,37,1.3515
1970,9,4,38,2.9571
1970,9,5,38,2.6500
1970,9,6,38,5.3716
1970,9,7,38,3.5168
1970,9,8,37,-0.1769
1970,9,9,38,1.1195
1970,9,10,36,5.8074
1970,10,1,38,2.7266
1970,10,2,38,0.4109
1970,10,3,37,-0.6558
1970,10,4,38,-0.0112
1970,10,5,38,1.6563
1970,10,6,38,-6.6019
1970,10,7,38,-4.8774
1970,10,8,37,-4.0136
1970,10,9,38,-2.9487
1970,10,10,36,-9.0160
1970,11,1,38,5.1101
1970,11,2,38,5.0320
1970,11,3,37,5.6262
1970,11,4,38,5.5998
1970,11,5,38,3.9953
1970,11,6,38,2.3777
1970,11,7,38,5.5885
1970,11,8,37,7.2121
1970,11,9,37,1.8527
1970,11,10,36,3.7518
1970,12,1,38,3.5104
1970,12,2,38,4.4590
1970,12,3,37,7.6466
1970,12,4,38,6.1931
1970,12,5,38,7.6422
1970,12,6,38,9.1634
1970,12,7,37,7.1524
1970,12,8,37,6.2755
1970,12,9,37,10.8966
1970,12,10,36,6.7124
1971,1,1,38,1.9031
1971,1,2,38,3.2448
1971,1,3,37,4.6262
1971,1,4,38,2.7410
1971,1,5,38,3.0781
1971,1,6,38,10.1002
1971,1,7,37,8.7732
1971,1,8,36,6.1924
1971,1,9,37,6.1459
1971,1,10,36,8.9272
1971,2,1,38,3.5538
1971,2,2,38,3.5093
1971,2,3,37,3.0573
1971,2,4,38,2.3643
1971,2,5,37,2.7854
1971,2,6,37,0.4232
1971,2,7,37,-0.1875
1971,2,8,36,-3.7175
1971,2,9,37,1.8274
1971,2,10,36,0.3805
1971,3,1,38,4.7699
1971,3,2,38,4.3919
1971,3,3,37,3.9605
1971,3,4,38,3.7002
1971,3,5,37,1.4274
1971,3,6,37,7.5260
1971,3,7,37,2.8168
1971,3,8,36,1.8244
1971,3,9,37,2.5229
1971,3,10,36,1.8404
1971,4,1,38,3.2369
1971,4,2,38,3.4114
1971,4,3,37,6.2678
1971,4,4,38,5.3861
1971,4,5,37,6.4002
1971,4,6,37,4.0389
1971,4,7,37,5.3419
1971,4,8,36,4.8966
1971,4,9,37,6.2934
1971,4,10,36,3.9042
1971,5,1,38,-2.4492
1971,5,2,38,-6.4918
1971,5,3,37,-2.9370
1971,5,4,38,-2.5014
1971,5,5,37,-3.5166
1971,5,6,37,-3.8216
1971,5,7,37,-2.2026
1971,5,8,36,-5.5546
1971,5,9,37,-4.5352
1971,5,10,36,-3.1784
1971,6,1,38,2.8348
1971,6,2,38,-1.2992
1971,6,3,37,0.9183
1971,6,4,38,-0.8850
1971,6,5,36,-1.1306
1971,6,6,37,-1.2892
1971,6,7,37,-2.9858
1971,6,8,36,-1.4931
1971,6,9,37,-2.0957
1971,6,10,36,-5.8407
1971,7,1,50,-1.8209
1971,7,2,49,-5.5587
1971,7,3,50,-4.6760
1971,7,4,49,-2.9983
1971,7,5,49,-3.7862
1971,7,6,52,-3.8957
1971,7,7,49,-2.6143
1971,7,8,50,-5.8539
1971,7,9,49,-4.8352
1971,7,10,51,-5.8094
1971,8,1,50,1.3699
1971,8,2,49,4.1479
1971,8,3,50,3.8986
1971,8,4,49,5.8409
1971,8,5,49,3.9443
