This file was created by CMPT_ME_PRIOR_RETS using the 202212 CRSP database.  It,,
contains a momentum factor, constructed from six value-weight portfolios formed,
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
ST_Rev is the average of the returns on two (big and small) low prior return portfolios,,
minus the average of the returns on two high prior return portfolios.  The portfolios,,
are constructed monthly.  Big means a firm is above the median market cap on the NYSE,,
at the end of the previous month; small firms are below the median NYSE market cap.,,
Prior return is measured from month - 1 to - 1.  Firms in the low prior return,,
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above,,
the 70th NYSE percentile.,,
,,
Missing data are indicated by -99.99 or -999.,,
,,
,ST_Rev,
200502,-2.45,-0.0245
200503,0.09,0.0009
200504,-1.84,-0.0184
200505,3.17,0.0317
200506,0.03,0.0003
200507,-0.17,-0.0017
200508,-1.37,-0.0137
200509,-3.69,-0.0369
200510,1.61,0.0161
200511,0.1,0.001
200512,2.04,0.0204
200601,-1,-0.01
200602,3.39,0.0339
200603,-0.08,-0.0008
200604,-0.33,-0.0033
200605,-0.04,-0.0004
200606,-0.57,-0.0057
200607,0.22,0.0022
200608,1.77,0.0177
200609,0.76,0.0076
200610,-0.26,-0.0026
200611,-0.91,-0.0091
200612,2.41,0.0241
200701,1.09,0.0109
200702,0.18,0.0018
200703,-2.05,-0.0205
200704,-0.31,-0.0031
200705,-0.99,-0.0099
200706,-0.65,-0.0065
200707,-3.59,-0.0359
200708,-2.61,-0.0261
200709,0.36,0.0036
200710,-3.96,-0.0396
200711,-1.69,-0.0169
200712,-2.05,-0.0205
200801,6.93,0.0693
200802,5.05,0.0505
200803,-0.37,-0.0037
200804,3.13,0.0313
200805,-2.28,-0.0228
200806,-7.09,-0.0709
200807,7.94,0.0794
200808,-0.51,-0.0051
200809,-3.75,-0.0375
200810,-9.37,-0.0937
200811,-9.99,-0.0999
200812,5.46,0.0546
200901,0.18,0.0018
200902,-7.01,-0.0701
200903,3.04,0.0304
200904,-6.52,-0.0652
200905,-2.71,-0.0271
200906,4.8,0.048
200907,4.43,0.0443
200908,-2.08,-0.0208
200909,1.12,0.0112
200910,2.14,0.0214
200911,0.45,0.0045
200912,1.47,0.0147
201001,3.64,0.0364
201002,1.63,0.0163
201003,0.8,0.008
201004,-1.86,-0.0186
201005,0.52,0.0052
201006,-4.87,-0.0487
201007,4.11,0.0411
201008,1,0.01
201009,3.29,0.0329
201010,-1.34,-0.0134
201011,-0.95,-0.0095
201012,2.27,0.0227
201101,-0.09,-0.0009
201102,-0.69,-0.0069
201103,-0.86,-0.0086
201104,-1.08,-0.0108
201105,-1.22,-0.0122
201106,-0.93,-0.0093
201107,-1.07,-0.0107
201108,-1.35,-0.0135
201109,-9.57,-0.0957
201110,12.21,0.1221
201111,1.25,0.0125
201112,-1.54,-0.0154
201201,6.52,0.0652
201202,-0.34,-0.0034
201203,-0.8,-0.008
201204,-0.46,-0.0046
201205,-3.34,-0.0334
201206,-0.79,-0.0079
201207,1.47,0.0147
201208,3.03,0.0303
201209,-0.19,-0.0019
201210,0.25,0.0025
201211,0.91,0.0091
201212,0.18,0.0018
201301,-1.42,-0.0142
201302,-1.19,-0.0119
201303,-1.86,-0.0186
201304,-1.19,-0.0119
201305,1.64,0.0164
201306,0.5,0.005
201307,1.94,0.0194
201308,-0.81,-0.0081
201309,-0.46,-0.0046
201310,-0.14,-0.0014
201311,0.67,0.0067
201312,1.35,0.0135
201401,0.33,0.0033
201402,-0.19,-0.0019
201403,2.66,0.0266
201404,-2.1,-0.021
201405,0.47,0.0047
201406,-0.52,-0.0052
201407,2.66,0.0266
201408,1.61,0.0161
201409,-0.19,-0.0019
201410,-2.6,-0.026
201411,-3.29,-0.0329
201412,-1.01,-0.0101
201501,-0.42,-0.0042
201502,3.54,0.0354
201503,-0.12,-0.0012
201504,4.12,0.0412
201505,2.4,0.024
201506,-3.58,-0.0358
201507,-4.93,-0.0493
201508,1.51,0.0151
201509,-3.17,-0.0317
201510,0.9,0.009
201511,0.08,0.0008
201512,1.15,0.0115
201601,-2.85,-0.0285
201602,-0.93,-0.0093
201603,1.54,0.0154
201604,0.42,0.0042
201605,0.11,0.0011
201606,1.44,0.0144
201607,4.53,0.0453
201608,-0.35,-0.0035
201609,0.03,0.0003
201610,2.55,0.0255
201611,0.31,0.0031
201612,-1.17,-0.0117
201701,3.34,0.0334
201702,-1.06,-0.0106
201703,-0.85,-0.0085
201704,-2.1,-0.021
201705,-3.37,-0.0337
201706,4.08,0.0408
201707,2,0.02
201708,-0.35,-0.0035
201709,2.81,0.0281
201710,-0.74,-0.0074
201711,0.42,0.0042
201712,-0.75,-0.0075
201801,0.68,0.0068
201802,-2.37,-0.0237
201803,0.32,0.0032
201804,-0.78,-0.0078
201805,-0.1,-0.001
201806,0.63,0.0063
201807,1.78,0.0178
201808,1.53,0.0153
201809,0.08,0.0008
201810,1.27,0.0127
201811,1.24,0.0124
201812,-1.61,-0.0161
201901,8.1,0.081
201902,-0.06,-0.0006
201903,0.1,0.001
201904,0.88,0.0088
201905,0.81,0.0081
201906,3.84,0.0384
201907,-0.21,-0.0021
201908,-2.39,-0.0239
201909,5.05,0.0505
201910,-0.41,-0.0041
201911,-0.19,-0.0019
201912,0.64,0.0064
202001,2.56,0.0256
202002,-2.38,-0.0238
202003,-11.6,-0.116
202004,15.69,0.1569
202005,-3.29,-0.0329
202006,-1.9,-0.019
202007,-3.3,-0.033
202008,-2.35,-0.0235
202009,0.43,0.0043
202010,0.61,0.0061
202011,3.02,0.0302
202012,-2.98,-0.0298
202101,0.76,0.0076
202102,4.5,0.045
202103,-0.92,-0.0092
202104,1.34,0.0134
202105,1.34,0.0134
202106,3.06,0.0306
202107,-0.72,-0.0072
202108,-1.54,-0.0154
202109,0.79,0.0079
202110,-1.61,-0.0161
202111,-2.75,-0.0275
202112,-0.21,-0.0021
202201,-4.74,-0.0474
202202,-3.32,-0.0332
202203,0.13,0.0013
202204,-1.91,-0.0191
202205,-2.09,-0.0209
202206,1.72,0.0172
202207,6.37,0.0637
202208,1.63,0.0163
202209,-1.65,-0.0165
202210,0.4,0.004
202211,0.54,0.0054
202212,-3.44,-0.0344
,,
Annual Factors:,,
January-December ,,
,ST_Rev,
1927,-17.69,
1928,-10.83,
1929,-14.96,
1930,-0.86,
1931,24.21,
1932,30.46,
1933,75.65,
1934,14.1,
1935,8.66,
1936,6.01,
1937,-6.73,
1938,90.44,
1939,65.52,
1940,19.22,
1941,1.68,
1942,24.21,
1943,21.8,
1944,14.35,
1945,28.2,
1946,-1.39,
1947,4.85,
1948,21.3,
1949,10.94,
1950,12.51,
1951,19.47,
1952,12.21,
1953,2.29,
1954,18.39,
1955,14.94,
1956,1.65,
1957,-4.58,
1958,33.34,
1959,2.89,
1960,-2.83,
1961,13.44,
1962,9.9,
1963,13.46,
1964,7.09,
1965,5.15,
1966,12.37,
1967,9.2,
1968,14.27,
1969,4.44,
1970,7.52,
1971,14.38,
1972,4.26,
1973,1.41,
1974,16.02,
1975,45.03,
1976,15.49,
1977,7.7,
1978,17.51,
1979,9.73,
1980,5.63,
1981,2.47,
1982,0.81,
1983,21.22,
1984,12.71,
1985,7.18,
1986,2.83,
1987,4.77,
1988,18.1,
1989,-5.02,
1990,-11.44,
1991,3.82,
1992,-2.58,
1993,-0.19,
1994,2.37,
1995,4.61,
1996,2.94,
1997,12.08,
1998,16.55,
1999,-14.23,
2000,-16.16,
2001,37.77,
2002,14.66,
2003,12.32,
2004,6.57,
2005,-1.27,
2006,6.24,
2007,-16.39,
2008,-5.43,
2009,-1.22,
2010,9.17,
2011,-7.63,
2012,6.69,
2013,-1.43,
2014,-2.14,
2015,0.98,
2016,6.05,
2017,3.76,
2018,2.12,
2019,19.38,
2020,-12.99,
2021,4.51,
,,
Copyright 2022 Kenneth R. French,,
